id,related
Sh3,SCCS: Abipon [SCCS183]
Sh4,
Sh5,
Sh6,
Sh7,
Sh8,
Sh9,SCCS: Lengua [SCCS182]
Si1,Binford: Bororo [B41]
Si10,
Si2,SCCS: Trumai [SCCS175]
Ab13,
Ae21,
Si3,
Si4,Binford: Nambikwara [B45]; SCCS: Nambicuara [SCCS174]
Si5,
Si6,Binford: Guato [B42]
Si7,
Si8,
Si9,
Sj1,
Sj10,SCCS: Cayua [SCCS181]
Sj11,SCCS: Shavante [SCCS179]
Ae22,
Sj2,
Sj3,Binford: Aweikomo [B50]; SCCS: Aweikoma [SCCS180]
Sj4,SCCS: Timbira [SCCS176]
Sj5,Binford: Botocudo [B48]; SCCS: Botocudo [SCCS178]
Sj6,
Sj7,
Sj8,SCCS: Tupinamba [SCCS177]
Sj9,
Ae23,
Ae24,
Ae25,
Ae26,
Ae27,
Ae28,
Ae29,
Ae3,
Ab14,
Ae30,
Ae31,
Ae32,
Ae33,
Ae34,
Ae35,
Ae36,
Ae37,
Ae38,
Ae39,
Ab15,
Ae4,SCCS: Nkundo Mongo [SCCS14]
Ae40,
Ae41,
Ae42,
Ae43,
Ae44,
Ae45,
Ae46,
Ae47,
Ae48,
Ab16,
Ae49,
Ae5,
Ae50,
Ae51,SCCS: Banen [SCCS15]
Ae52,
Ae53,
Ae54,
Ae55,
Ae56,
Ae57,
Ab17,
Ae58,
Ae59,
Ae6,
Ae7,
Ae8,
Ae9,
Af1,SCCS: Fon [SCCS18]
Af10,SCCS: Igbo [SCCS17]
Af11,
Af12,
Ab18,
Af13,
Af14,
Af15,
Af16,
Af17,
Af18,
Af19,
Af2,
Af20,
Af21,
Aa2,Binford: Dorobo [B70]
Ab19,
Af22,
Af23,
Af24,
Af25,
Af26,
Af27,
Af28,
Af29,
Af3,SCCS: Ashanti [SCCS19]
Af30,
Ab2,
Af31,
Af32,
Af33,
Af34,
Af35,
Af36,
Af37,
Af38,
Af39,
Af4,
Ab20,
Af40,
Af41,
Af42,
Af43,
Af44,
Af45,
Af46,
Af47,
Af48,
Af49,
Ab21a,
Af5,SCCS: Mende [SCCS20]
Af50,
Af51,
Af52,
Af53,
Af54,
Af55,
Af56,
Af57,
Af58,
Ab21b,
Af6,
Af7,
Af8,
Af9,
Ag1,SCCS: Bambara [SCCS22]
Ag10,
Ag11,
Ag12,
Ag13,
Ag14,
Ab22,
Ag15,
Ag16,
Ag17,
Ag18,
Ag19,
Ag2,
Ag20,
Ag21,
Ag22,
Ag23,
Ab3,SCCS: Lozi [SCCS4]
Ag24,
Ag25,
Ag26,
Ag27,
Ag28,
Ag29,
Ag3,
Ag30,
Ag31,
Ag32,
Ab4,SCCS: Thonga [SCCS3]
Ag33,
Ag34,
Ag35,
Ag36,
Ag37,
Ag38,
Ag39,
Ag4,SCCS: Tallensi [SCCS23]
Ag40,
Ag41,
Ab5,SCCS: Mbundu [SCCS5]
Ag42,
Ag43,
Ag44,
Ag45,
Ag46,
Ag47,
Ag48,
Ag49,
Ag5,
Ag50,
Ab6,
Ag51,
Ag52,
Ag53,
Ag54,
Ag6,
Ag7,
Ag8,
Ag9,
Ah1,
Ah10,
Aa3,SCCS: Nama [SCCS1]
Ab7,
Ah11,
Ah12,
Ah13,
Ah14,
Ah15,
Ah16,
Ah17,
Ah18,
Ah19,
