id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
WNAI119,xd1196,Washo,wash1253,Washo (J119),,NA,Washo (NT20),in process,39,120,39,-120,Original,
WNAI120,xd1169,Mahaguaduka,west2622,Reese River Shoshone (J120),"Reese River Shoshoni, Reese River Shoshone",NA,Western (NT22),in process,39.3,117.3,39.3,-117.3,Original,
WNAI121,xd995,Spring Valley Shoshoni,west2622,Spring Valley Shoshone (J121),Spring Valley,NA,,,39.3,114.5,39.3,-114.5,Original,
WNAI122,xd1176,Wadaduka,west2622,Ruby Valley Shoshone (J122),"Ruby Valley Shoshoni, Pine Creek Shoshoni, Diamond Valley Shoshoni, Egan Canyon Shoshoni, Ruby Valley Shoshone",NA,,,40.8,115.2,40.8,-115.2,Original,
WNAI123,xd1178,White Knife Shoshoni,west2622,Battle Mountain Shoshone (J123),"Battle Mountain (White Knife) Shoshone, White Knife Shoshoni, Battle Mountain Shoshoni, Tosawihi",NA,,,40.8,117,40.8,-117,Original,
WNAI124,xd1183,Gosiute,gosi1242,Gosiute Shoshone (J124),"Gosiute Shoshoni, Deep Creek Shoshoni, Gosiute Shoshone",NA,Western (NT22),in process,40,114,40,-114,Original,
WNAI125,xd1180,Bohogue,nort2955,Bohogue Shoshone (J125),"Fort Hall Shoshoni, Bohogue Shoshone",NA,,,43,113,43,-113,Original,
WNAI126,xd1182,Agaiduka,nort2955,Agaiduka Shoshone (J126),"Agaiduka, Salmon-Eater Shoshoni, Lemhi River Shoshoni, Agaiduku (Lemhi) Shoshone",NA,,,45,113.8,45,-113.8,Original,
WNAI127,xd1185,Hukundika,nort2955,Hukundika Shoshone (J127),"Seed-Eaters, Northern Shoshoni, Hukunduka, Hukuniduica, Hukundika Shoshone, Promontory Shoshone",NA,,,41.7,112,41.7,-112,Original,
WNAI128,xd1201,Wind River Eastern Shoshone,nort2955,Wind River Shoshone (J128),"Wind River, Eastern Shoshoni, Kucundika, Buffalo Hunters, Buffalo-Eater, Wind River Shoshone",NA,,,43,109,43,-109,Original,
WNAI129,xd1194,Uintah Ute,utee1244,Uintah Ute (J129),"Tompanowots, Yampa",NA,,,40,111,40,-111,Original,
WNAI130,xd1199,Uncompahgre Ute,utee1244,Uncompaghre Ute (J130),Mowataviwatsiu,NA,,,38,108,38,-108,Original,
WNAI131,xd1152,Southern Ute,utee1244,Wimonuch Ute (Shoshonean) (J131),"Wimonuch Utes, Ute Mountain Ute, Wimonutsi, Navajo Springs, Wimonuntci, Weminute, Wimonantci Ute",NA,Ute (NT19),http://ehrafworldcultures.yale.edu/collection?owc=NT19,38,109,38,-109,Original,
WNAI132,xd1188,Shivwits,sout2969,Shivwits Southern Paiute (J132),"Shivwits, Suwuntsu (St. George), Suwuntsu, St. George, Gunlock, Uinkaret, Southern Paiute",NA,,,36.8,114,36.8,-114,Original,
WNAI133,xd1189,Southern Paiute (Kaibab and Las Vegas),sout2969,Kaibab Southern Paiute (J133),"Kaivavwits, Southern Paiute, Southern Paiute, Kaibab Southern Paiute",NA,,,36.5,112,36.5,-112,Original,
WNAI134,xd1192,San Juan,sout2969,San Juan Southern Paiute (J134),"San Juan, Kwaanitikwokets",NA,,,37,110,37,-110,Original,
WNAI135,xd1190,Chemehuevi,chem1251,Chemehuevi Southern Paiute (J135),"Chemehuevi, Colorado River Reservation",NA,Southern (NT16),in process,34.3,116,34.3,-116,Original,
WNAI136,xd1163,Havasupai,hava1249,Havasupai (J136),Plateau Yuma,NA,Plateau Yumans (NT14),http://ehrafworldcultures.yale.edu/collection?owc=NT14,36.2,112.8,36.2,-112.8,Original,
