id,society_name,lat,long,source,iso
Ei11,Aimol,25,94,EA,aim
Ej7,Akha,21,100,EA,ahk
Ei13,Angami,26,94,EA,njm
Ei14,Ao,27,94,EA,njo
Ei3,Burmese,20,95,EA,mya
Ei19,Chin,22,94,EA,NA
Ei1,Garo,26,91,EA,grt
Ei5,Kachin,26,97,EA,kac
Ei7,Karen,17,97,EA,NA
Ei4,Lakher,22,93,EA,mrh
Ee3,Lepcha,28,89,EA,lep
Ei2,Lhota,27,94,EA,njh
Ch4,Cheremis,43,46,EA,chm
Ee8,Magar,28,84,EA,mgp
Ed8,Minchia,26,100,EA,bca
Ei9,Mogh,20,92,EA,NA
Ei6,Purum,25,94,EA,pub
Ei16,Sema,26,95,EA,nsm
Ee6,Sherpa,28,87,EA,xsr
Ei12,Thado,25,94,EA,tcz
Ee4,Tibetans,30,91,EA,NA
Ci2,Khevsur,43,45,EA,kat
Ci5,Turks,38,30,EA,tur
Ea12,Quahgai,30,52,EA,qxq
Eg1,Chenchu,16,79,EA,cde
Eg5,Coorg,12,76,EA,kfa
Eb3,Khalka,46,97,EA,khk
Eg11,Koya,19,78,EA,kff
Eg3,Maria Gond,19,81,EA,daq
Eg13,Muria Gond,20,81,EA,NA
Ef6,Oraon,23,85,EA,kru
Eg14,Reddi,18,82,EA,mmk
Eg2,Tamil,11,79,EA,tam
Eg10,Telugu,18,79,EA,NA
Eg4,Toda,12,77,EA,tcx
Ej5,Cambodians,12,105,EA,khm
Ej15,Khmer,13,104,EA,NA
Ej2,Mnong Gar,12,107,EA,mng
Ei8,Khasi,26,92,EA,kha
Ej1,Lamet,20,101,EA,lbn
Ej12,Lawa,18,98,EA,lcp
Eh5,Nicobarese,9,92,EA,NA
Ei18,Palaung,23,97,EA,NA
Eg9,Baiga,22,81,EA,NA
Eb7,Chahar,41,115,EA,mvf
Ef4,Ho,22,85,EA,hoc
Ed10,Shantung,37,118,EA,NA
Ef1,Santal,24,87,EA,sat
Ej3,Semang,5,101,EA,NA
Ej14,Senoi,4,102,EA,sea
Ej4,Annamese,17,107,EA,vie
Ej13,Muong,21,105,EA,mtq
Ih5,Ajie,-22,165,EA,aji
Ic2,Alorese,-8,125,EA,NA
Ic11,Ambonese,-4,128,EA,abs
Ia9,Ami,22,121,EA,ami
Eh9,Antaisaka,-23,48,EA,bjq
Eh7,Antandroy,-25,46,EA,tdx
Ia1,Atayal,24,121,EA,tay
Ig13,Aua,-2,143,EA,NA
Ia13,Badjau Tawi-Tawi,5,120,EA,NA
Ib3,Balinese,-8,115,EA,mhp
Ib4,Batak,2,99,EA,bbc
Ic3,Belu,-9,126,EA,NA
If12,Bikinians,12,165,EA,mah
Ia8,Bontok,17,121,EA,bnc
Ih3,Bunlap,-16,168,EA,sax
Ia10,Bunun,24,121,EA,bnn
Ie28,Busama,-7,147,EA,buk
If15,Carolinians,15,146,EA,cal
Ej11,Cham,11,108,EA,cjm
If8,Chamorro,15,145,EA,cha
Ig12,Choiseulese,-6,156,EA,tva
Ig14,Dahuni,-10,150,EA,swp
Ig5,Dobuans,-10,151,EA,dob
