ISO,LMP_LAT,LMP_LON
skq,13.72056,-0.78768
sld,11.07943,-2.45307
hmb,14.40702,0.16895
tiq,10.71840,-4.52615
tsp,11.15321,-4.81907
wib,10.88294,-4.63201
tuz,10.71321,-4.93520
vig,10.84058,-3.83443
wbf,10.72430,-5.38157
kst,11.83642,-2.93758
run,-3.32078,29.92321
cja,12.11433,105.57351
cog,12.21285,102.84303
xkk,13.80763,107.24775
krv,14.19873,106.58560
khm,12.44095,104.38105
rka,12.81020,106.53540
krr,13.55020,106.80744
lmm,14.35772,107.32858
pcb,13.58856,105.03027
sxm,13.47901,103.97341
scq,10.85780,103.82608
smu,12.28206,103.18404
syo,11.93708,104.13416
tpu,13.56597,107.24886
mij,6.57754,10.22675
agq,6.38736,10.07548
bss,4.94936,9.65544
aku,6.83834,9.99558
ael,5.93729,9.62080
ato,6.04585,9.73302
azo,5.87496,10.26588
bbk,6.07204,10.29866
bbw,6.11460,10.52384
bfj,5.84312,10.44831
bwt,4.58401,9.53893
ksf,4.73059,11.08465
bfd,6.13677,10.13318
bqz,4.77921,9.81829
bkc,2.91721,14.36562
bkh,3.48699,9.99965
kme,4.42941,8.95517
bdn,10.90770,14.46853
bqo,6.12840,9.69858
bbq,5.91692,10.45196
bmo,5.85899,10.54399
baw,6.10567,10.22428
bce,5.76956,10.33370
bqt,5.88233,10.33985
bvm,6.01433,10.50956
bax,5.58897,10.85543
bcw,10.35540,13.61890
bgf,2.29884,15.34668
bgj,6.01285,10.66486
abb,4.37822,9.64981
bbi,4.64008,9.25350
bas,3.94855,10.45646
bsi,5.28137,9.55139
btc,4.28472,11.05969
bfp,6.33140,9.74150
beb,4.79584,12.85126
bzv,6.74715,10.57300
bxp,4.85521,13.36527
bnz,6.81627,10.10574
bby,6.27964,10.02832
btb,3.22265,11.68962
byb,6.74997,10.53331
bwh,6.67251,9.79396
bvg,4.64327,9.75985
bbx,4.03026,9.24256
bum,3.22227,11.69175
bmv,6.48599,10.42003
bqd,6.40736,11.63887
bxs,5.86208,9.68104
bju,6.68152,9.78433
bhs,10.61134,13.88165
mkk,4.52530,13.59219
ckx,6.27047,9.78320
cug,6.59674,10.41315
cuv,10.64576,14.00157
dbq,10.19458,13.90037
dmm,8.72092,14.05993
dek,11.01828,14.48328
anv,5.99999,9.38930
dur,8.00336,14.01575
dii,4.81383,10.99487
dow,8.61989,13.08900
dua,4.17282,9.59421
ndu,8.38982,13.40769
dme,10.74965,14.21546
duz,9.11241,13.42323
dae,8.54526,13.44687
add,6.70986,10.88863
ekm,4.46563,11.19792
emn,6.22164,9.70254
ags,6.50469,9.85460
eto,4.19614,11.40693
ewo,3.24147,11.68053
fll,9.92232,13.66252
fal,9.49320,13.62491
fak,6.54575,10.31349
fmp,5.17665,10.14903
fub,9.03587,13.59832
gou,10.55912,13.82218
gmm,4.77766,14.34221
guv,9.37513,13.58095
bbj,5.42769,10.34680
gid,9.95349,14.00268
kmp,8.57896,12.66834
gmn,8.59578,12.77921
gis,10.68880,14.22968
giz,10.31267,14.17784
gyi,2.81808,10.34074
xed,10.92967,13.75026
hij,4.40676,10.91463
hya,10.48782,13.56438
bec,6.33059,9.50422
ass,6.31069,9.63962
isu,6.62684,9.98443
szv,3.98109,9.35926
uiv,6.40808,9.54248
jim,10.24537,13.52991
jia,11.33073,14.94994
jbu,6.86384,10.51587
kkj,4.28972,14.40211
kzr,8.04368,15.02243
dmo,6.69640,10.49974
kvm,5.77348,9.62748
ndb,6.01898,10.41255
ken,5.51419,9.50430
klc,8.27409,13.27025
biw,3.65395,12.82155
bkm,6.27076,10.34254
ozm,3.42686,13.06238
kid,6.57935,10.29595
kfn,6.42989,10.18098
kfl,6.53950,10.20677
kdz,6.62696,10.98290
kwu,4.32325,13.64727
knp,6.41005,11.68420
nmg,3.06009,10.29980
bko,4.88679,10.34381
lbi,7.85817,15.28952
kot,11.69154,14.84992
lmx,6.28794,10.14934
lns,6.19135,10.80252
lfa,5.04554,11.15784
leo,4.57457,11.40498
lmp,6.49663,10.79361
wok,8.34979,13.06592
luw,6.45206,11.28899
mxu,10.88089,14.11406
maf,10.85718,13.88396
xmj,11.16241,14.99821
mcp,4.04989,13.06024
mxf,12.44419,14.81455
mzd,3.76168,9.64870
mcs,9.51221,13.92979
mcu,6.49953,11.42423
myg,6.01368,9.58139
msv,12.22483,14.82024
mfh,10.92833,14.04734
dkx,10.17602,13.70867
xmd,10.46098,13.93629
nza,6.85367,10.69909
xmb,5.75001,13.64964
mbo,5.12587,9.94268
mtk,6.28058,11.10479
mqb,10.77967,14.16608
mlb,4.50406,10.99442
mdd,6.75852,13.24224
muc,6.53675,10.25353
byv,5.08656,10.57132
mfj,10.70269,13.80530
mfd,6.00728,10.23074
xmg,5.70875,10.33629
mct,4.57483,11.40563
mea,5.94479,9.69448
meq,10.74795,14.08665
iyo,6.32208,9.87508
mgo,5.92187,9.89756
nfu,6.62696,10.98290
hna,10.37147,13.83069
mmu,4.52303,11.06658
bfm,6.43871,10.25519
mif,10.54926,14.02533
mfk,10.68799,14.11080
bri,4.21863,9.26759
mlw,10.79455,14.24796
mru,8.78385,14.22556
mpi,12.57452,14.51383
mgg,3.05092,14.81427
kqx,12.02826,14.94921
boe,6.57873,10.27100
mnf,5.67228,9.90906
mhk,5.90531,10.01838
mug,10.80200,14.89536
muy,10.86079,14.21112
ngv,8.71620,13.42637
mff,6.79962,10.27467
ncr,6.55020,10.54773
gke,8.09054,14.28930
ncp,6.62696,10.98290
nnz,5.17392,10.36754
nml,4.67108,10.21929
nbv,5.87931,10.08198
nge,6.04710,10.10057
nnh,5.56302,10.12333
ngj,5.93935,9.79766
nla,5.70497,10.14372
jgo,5.61971,10.23795
nnx,8.78719,13.42930
nsh,6.04679,9.83103
nwe,5.52327,9.89054
