dataset,soc_id,origLat,origLong,Lat,Long,Comment
EA,Af31,18,8,18,8,Original
EA,Af32,7,3,7,3,Original
EA,Af33,8,5,8,5,Original
EA,Af34,7,5,7,5,Original
EA,Af35,6,0,6,0,Original
EA,Af36,7,1,7,1,Original
EA,Af37,3,1,7.22,0.46,Revised
EA,Af38,5,-3,7.53,-2.15,Revised
EA,Af39,7,-4,7,-4,Original
EA,Af4,6,8,6,8,Original
EA,Af40,5,-4,5.27,-3.58,Revised
EA,Af41,6,-4,6,-4,Original
EA,Af42,6,-1,6,-1,Original
EA,Af43,6,0,6,0,Original
EA,Af44,5,-4,5.22,-4.42,Revised
EA,Af45,5,-5,5.15,-5.25,Revised
EA,Af46,5,-7,5,-7,Original
EA,Af47,6,-8,6,-8,Original
