xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel
xd122,ngp,1,ngul1246,language,atla1278,family
xd1308,nhn,1,cent2132,language,utoa1244,family
xd7,nhr,1,naro1249,language,khoe1240,family
xd620,nio,1,ngan1291,language,ural1272,family
xd412,niq,1,nand1266,language,nilo1247,family
xd888,niu,1,niue1239,language,aust1307,family
xd707,njh,1,loth1237,language,sino1245,family
xd700,njm,1,anga1288,language,sino1245,family
xd701,njo,1,aona1235,language,sino1245,family
xd976,nju,1,ngad1258,language,pama1250,family
xd161,njy,1,njye1238,language,atla1278,family
xd272,nku,1,boun1243,language,atla1278,family
xd541,nld,1,dutc1256,language,indo1319,family
