xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel,xd_id
xd612,dta,1,daur1238,language,mong1329,family,xd612
xd130,dua,1,dual1243,language,atla1278,family,xd130
xd100,dug,1,duru1249,language,atla1278,family,xd100
xd777,duj,1,dhuw1249,language,pama1250,family,xd777
xd270,dya,1,dyan1251,language,atla1278,family,xd270
xd254,dyo,1,jola1263,language,atla1278,family,xd254
xd263,dyu,1,dyul1238,language,mand1469,family,xd263
xd492,dzg,1,daza1242,language,saha1256,family,xd492
xd927,efe,1,efee1239,language,cent2225,family,xd927
xd196,efi,1,efik1245,language,atla1278,family,xd196
xd785,ekg,1,ekar1243,language,nucl1709,family,xd785
xd534,ell,1,mode1248,language,indo1319,family,xd534
xd1027,ems,1,paci1278,language,eski1264,family,xd1027
xd538,eng,2,stan1293,language,indo1319,family,xd538
xd865,erg,1,siee1239,language,aust1307,family,xd865
xd1029,esi,4,anak1241,dialect,eski1264,family,xd1029
xd1036,esi,4,nort2944,dialect,eski1264,family,xd1036
xd1021,esi,4,poin1245,dialect,eski1264,family,xd1021
xd1020,esi,4,poin1245,dialect,eski1264,family,xd1020
xd1015,esk,3,kobu1239,dialect,eski1264,family,xd1015
xd1018,esk,3,nort2945,language,eski1264,family,xd1018
xd1016,esk,3,kotz1238,dialect,eski1264,family,xd1016
xd1028,ess,2,aiwa1238,dialect,eski1264,family,xd1028
xd622,ess,2,chap1266,dialect,eski1264,family,xd622
xd553,est,1,esto1258,language,ural1272,family,xd553
xd1000,esu,3,kusk1241,dialect,eski1264,family,xd1000
xd1014,esu,3,kusk1241,dialect,eski1264,family,xd1014
xd1064,esu,3,kusk1241,dialect,eski1264,family,xd1064
xd204,ets,1,yekh1238,language,atla1278,family,xd204
xd195,etu,1,ejag1239,language,atla1278,family,xd195
xd624,evn,1,even1259,language,tung1282,family,xd624
xd215,ewe,2,aguu1242,dialect,atla1278,family,xd215
xd274,ewe,2,awun1244,dialect,atla1278,family,xd274
xd1102,eya,1,eyak1241,language,atha1245,family,xd1102
xd401,eyo,1,keiy1238,language,nilo1247,family,xd401
xd149,fan,1,fang1246,language,atla1278,family,xd149
xd867,fij,2,bauu1243,dialect,aust1307,family,xd867
xd874,fij,2,nort2843,dialect,aust1307,family,xd874
xd86,fip,1,fipa1238,language,atla1278,family,xd86
xd1144,fla,2,kali1309,dialect,sali1255,family,xd1144
